action,nest,frame_number,track_id,ml_confidence,timestamp
Exit,30,7,1,0.6320292178686266,2024-04-23 10:00:00.233333
Exit,30,916,2,0.6731974041162501,2024-04-23 10:00:30.533333
Entry,30,1228,2,0.6027414261830102,2024-04-23 10:00:40.933333
Exit,30,1447,5,0.6981083393524365,2024-04-23 10:00:48.233333
Entry,30,1882,5,0.6379702244361697,2024-04-23 10:01:02.733333
Exit,30,2217,6,0.633619125895211,2024-04-23 10:01:13.900000
Exit,30,2581,7,0.6630999483551787,2024-04-23 10:01:26.033333
Exit,30,3445,8,0.6539653623024622,2024-04-23 10:01:54.833333
Exit,30,3635,9,0.6470126525903004,2024-04-23 10:02:01.166667
Exit,30,4583,11,0.6693759961574324,2024-04-23 10:02:32.766667
Exit,30,4764,12,0.6559870490559898,2024-04-23 10:02:38.800000
Exit,30,5304,14,0.6236434574951858,2024-04-23 10:02:56.800000
Exit,30,5588,15,0.6185715074632195,2024-04-23 10:03:06.266667
